id,code,name,class_div,danger_sec,group_env_onu,group_env_onu_disp_esp,qty_limit,qty_except,int_emb_env,int_emb_env_disp_esp,int_trasp,int_trasp_disp_esp,start_date
waybill_materiales_peligrosos_20,M0021,BOMBAS con carga explosiva (Producto o material explosivo),1.2D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_21,M0022,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo),1.1 F,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_22,M0023,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo),1.1D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_23,M0024,BOMBAS DE ILUMINACIÓN PARA FOTOGRAFÍA (Producto o material explosivo),1.2G,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_24,M0025,MULTIPLICADORES sin detonador (Producto o material explosivo),1.1D,,,,0,E0,"P132 (a)
P132 (b)",,,,2021-06-01
waybill_materiales_peligrosos_25,M0026,CARGAS DISPERSORAS (Producto o material explosivo),1.1D,,,,0,E0,P133,PP69,,,2021-06-01
waybill_materiales_peligrosos_26,M0027,CEBOS DEL TIPO DE CÁPSULA (Producto o material explosivo),1.4S,,,,0,E0,P133,,,,2021-06-01
waybill_materiales_peligrosos_27,M0028,CARGAS DE DEMOLICIÓN (Producto o material explosivo),1.1D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_28,M0029,CARTUCHOS FULGURANTES (Producto o material explosivo),1.1G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_29,M0030,CARTUCHOS FULGURANTES (Producto o material explosivo),1.3G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_30,M0031,CARTUCHOS DE SEÑALES (Producto o material explosivo),1.3G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_31,M0032,"VAINAS DE CARTUCHOS VACÍOS, CON CEBO (Producto o material explosivo)",1.4S,,,364,5 kg,E0,P136,,,,2021-06-01
waybill_materiales_peligrosos_32,M0033,CARGAS DE PROFUNDIDAD (Producto o material explosivo),1.1D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_33,M0034,CARGAS HUECAS sin detonador (Producto o material explosivo),1.1D,,,,0,E0,P137,PP70,,,2021-06-01
waybill_materiales_peligrosos_34,M0035,CARGAS EXPLOSIVAS PARA MULTIPLICADORES (Producto o material explosivo),1.1D,,,,0,E0,"P132 (a)
P132 (b)",,,,2021-06-01
waybill_materiales_peligrosos_35,M0036,MECHA DETONANTE flexible (Producto o material explosivo),1.1D,,,,0,E0,P139,"PP71
PP72",,,2021-06-01
waybill_materiales_peligrosos_36,M0037,MECHA DE COMBUSTIÓN RÁPIDA (Producto o material explosivo),1.4G,,,,0,E0,P140,,,,2021-06-01
waybill_materiales_peligrosos_37,M0038,CORTACABLES CON CARGA EXPLOSIVA (Producto o material explosivo),1.4S,,,,0,E0,"P134
LP102",,,,2021-06-01
waybill_materiales_peligrosos_38,M0039,"CICLOTRIMETILENTRINITRAMI NA (CICLONITA; RDX; HEXÓGENO) HUMEDECIDA con un mínimo del 15 %, en masa, de agua (Producto o material explosivo)",1.1D,,,266,0,E0,P112 (a),PP45,,,2021-06-01
waybill_materiales_peligrosos_39,M0040,DETONADORES PARA MUNICIONES (Producto o material explosivo),1.1B,,,,0,E0,P133,,,,2021-06-01
waybill_materiales_peligrosos_40,M0041,"DIAZODINITROFENOL HUMEDECIDO con un mínimo del 40 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1A,,,266,0,E0,"P110 (a)
P110 (b)",PP42,,,2021-06-01
waybill_materiales_peligrosos_41,M0042,"DINITRATO DE DIETILENGLICOL DESENSIBILIZADO con un mínimo del 25 %, en masa, de flemador no volátil insoluble en agua (Producto o material explosivo)",1.1D,,,266,0,E0,P115,"PP53
PP54
PP57
PP58",,,2021-06-01
waybill_materiales_peligrosos_42,M0043,"DINITROFENOL seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)",1.1D,6.1,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",PP26,,,2021-06-01
waybill_materiales_peligrosos_43,M0044,"DINITROFENOLATOS de metales alcalinos, secos o humedecidos con
menos del 15 %, en masa, de agua (Producto o material explosivo)",1.3C,6.1,,,0,E0,"P114 (a)
P114 (b)",PP26,,,2021-06-01
waybill_materiales_peligrosos_44,M0045,"DINITRORRESORCINOL seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",PP26,,,2021-06-01
waybill_materiales_peligrosos_45,M0046,HEXANITRODIFENILAMINA (DIPICRILAMINA; HEXILO) (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_46,M0047,"EXPLOSIVOS PARA VOLADURAS, TIPO A (Producto o material explosivo)",1.1D,,,,0,E0,P116,"PP63
PP66",,,2021-06-01
waybill_materiales_peligrosos_47,M0048,"EXPLOSIVOS PARA VOLADURAS, TIPO B (Producto o material explosivo)",1.1D,,,,0,E0,"P116


IBC100","PP61
PP62
B9",,,2021-06-01
waybill_materiales_peligrosos_48,M0049,"EXPLOSIVOS PARA VOLADURAS, TIPO C (Producto o material explosivo)",1.1D,,,267,0,E0,P116,,,,2021-06-01
waybill_materiales_peligrosos_49,M0050,"EXPLOSIVOS PARA VOLADURAS, TIPO D (Producto o material explosivo)",1.1D,,,,0,E0,P116,,,,2021-06-01
waybill_materiales_peligrosos_50,M0051,BENGALAS DE SUPERFICIE (Producto o material explosivo),1.3G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_51,M0052,BENGALAS AÉREAS (Producto o material explosivo),1.3G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_52,M0053,PÓLVORA DE DESTELLOS (Producto o material explosivo),1.1G,,,,0,E0,P113,PP49,,,2021-06-01
waybill_materiales_peligrosos_53,M0054,"DISPOSITIVOS EXPLOSIVOS DE FRACTURACIÓN sin detonador, para pozos de petróleo",1.1D,,,,0,E0,"P134
LP102",,,,2021-06-01
waybill_materiales_peligrosos_54,M0055,MECHA NO DETONANTE (Producto o material explosivo),1.3G,,,,0,E0,P140,"PP74
PP75",,,2021-06-01
waybill_materiales_peligrosos_55,M0056,MECHA DETONANTE con envoltura metálica (Producto o material explosivo),1.2D,,,,0,E0,P139,PP71,,,2021-06-01
waybill_materiales_peligrosos_56,M0057,"MECHA DE IGNICIÓN, tubular, con envoltura metálica (Producto o material explosivo)",1.4G,,,,0,E0,P140,,,,2021-06-01
waybill_materiales_peligrosos_57,M0058,"MECHA DETONANTE DE EFECTO REDUCIDO, con envoltura metálica (Producto o material explosivo)",1.4D,,,,0,E0,P139,PP71,,,2021-06-01
waybill_materiales_peligrosos_58,M0059,MECHA DE SEGURIDAD (MECHA LENTA o MECHA BICKFORD) (Producto o material explosivo),1.4S,,,,0,E0,P140,PP73,,,2021-06-01
waybill_materiales_peligrosos_59,M0060,ESPOLETAS DETONANTES (Producto o material explosivo),1.1B,,,,0,E0,P141,,,,2021-06-01
waybill_materiales_peligrosos_60,M0061,ESPOLETAS DETONANTES (Producto o material explosivo),1.2B,,,,0,E0,P141,,,,2021-06-01
waybill_materiales_peligrosos_61,M0062,"GRANADAS DE EJERCICIOS, de mano o de fusil (Producto o material explosivo)",1.4S,,,,0,E0,P141,,,,2021-06-01
waybill_materiales_peligrosos_62,M0063,"GUANILNITROSAMINO- GUANILIDENHIDRAZINA HUMEDECIDA con un mínimo del 30 %, en masa, de agua (Producto o material explosivo)",1.1A,,,266,0,E0,"P110 (a)
P110 (b)",PP42,,,2021-06-01
waybill_materiales_peligrosos_63,M0064,"GUANILNITROSAMINO- GUANILTETRACENO (TETRACENO) HUMEDECIDO con un mínimo del 30 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1A,,,266,0,E0,"P110 (a)
P110 (b)",PP42,,,2021-06-01
waybill_materiales_peligrosos_64,M0065,"HEXOLITA (HEXOTOL) seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_65,M0066,INFLAMADORES (Producto o material explosivo),1.1G,,,,0,E0,P142,,,,2021-06-01
waybill_materiales_peligrosos_66,M0067,"DISPOSITIVOS PORTADORES DE CARGAS HUECAS, CARGADOS, para perforación de pozos de petróleo, sin detonador (Producto o material explosivo)",1.1D,,,,0,E0,P101,,,,2021-06-01
waybill_materiales_peligrosos_67,M0068,"AZIDA DE PLOMO HUMEDECIDA con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1A,,,266,0,E0,"P110 (a)
P110 (b)",PP42,,,2021-06-01
waybill_materiales_peligrosos_68,M0069,"ESTIFNATO DE PLOMO (TRINITRORRESORCINATO DE PLOMO) HUMEDECIDO con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1A,,,266,0,E0,"P110 (a)
P110 (b)",PP42,,,2021-06-01
waybill_materiales_peligrosos_69,M0070,INICIADOR PARA MECHAS DE SEGURIDAD (Producto o material explosivo),1.4S,,,,0,E0,P142,,,,2021-06-01
waybill_materiales_peligrosos_70,M0071,"SALES METÁLICAS DEFLAGRANTES DE DERIVADOS NITRADOS AROMÁTICOS, N.E.P. (Producto o material explosivo)",1.3C,,,,0,E0,"P114 (a)
P114 (b)",PP26,,,2021-06-01
waybill_materiales_peligrosos_71,M0072,"HEXANITRATO DE MANITOL (NITROMANITA) HUMEDECIDO con un mínimo del 40 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1D,,,266,0,E0,P112 (a),,,,2021-06-01
waybill_materiales_peligrosos_72,M0073,"FULMINATO DE MERCURIO HUMEDECIDO con un mínimo del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1A,,,266,0,E0,"P110 (a)
P110 (b)",PP42,,,2021-06-01
waybill_materiales_peligrosos_73,M0074,MINAS con carga explosiva (Producto o material explosivo),1.1 F,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_74,M0075,MINAS con carga explosiva (Producto o material explosivo),1.1D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_75,M0076,MINAS con carga explosiva (Producto o material explosivo),1.2D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_76,M0077,"NITROGLICERINA DESENSIBILIZADA con un mínimo del 40 %, en masa, de flemador no volátil insoluble en agua (Producto o material explosivo)",1.1D,6.1,,"266
271",0,E0,P115,"PP53
PP54
PP57
PP58",,,2021-06-01
waybill_materiales_peligrosos_77,M0078,NITROGLICERINA EN SOLUCIÓN ALCOHÓLICA con más del 1 % pero no más del 10 % de nitroglicerina (Producto o material explosivo),1.1D,,,358,0,E0,P115,"PP45
PP55
PP56
PP59
PP60",,,2021-06-01
waybill_materiales_peligrosos_78,M0079,"NITROALMIDÓN seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_79,M0080,NITROUREA (Producto o material explosivo),1.1D,,,,0,E0,P112 (b),,,,2021-06-01
waybill_materiales_peligrosos_80,M0081,"TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA; TNPE) HUMEDECIDO con un mínimo del 25 %, en masa, de agua, o TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PENTRITA; TNPE) DESENSIBILIZADO con un mínimo del 15 %, en masa, de flemador (Producto o material explosivo)",1.1D,,,266,0,E0,"P112 (a)
P112 (b)",,,,2021-06-01
waybill_materiales_peligrosos_81,M0082,"PENTOLITA seca o humedecida con menos del 15 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_82,M0083,TRINITROANILINA (PICRAMIDA) (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_83,M0084,"TRINITROFENOL (ÁCIDO PÍCRICO) seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",PP26,,,2021-06-01
waybill_materiales_peligrosos_84,M0085,TRINITROCLOROBENCENO (CLORURO DE PICRILO) (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_85,M0086,"GALLETA DE PÓLVORA HUMEDECIDA con un mínimo del 25 %, en masa, de agua (Producto o material explosivo)",1.3C,,,266,0,E0,P111,PP43,,,2021-06-01
waybill_materiales_peligrosos_86,M0087,PÓLVORA SIN HUMO (Producto o material explosivo),1.1C,,,,0,E0,P114 (b),"PP50
PP52",,,2021-06-01
waybill_materiales_peligrosos_87,M0088,PÓLVORA SIN HUMO (Producto o material explosivo),1.3C,,,,0,E0,P114 (b),"PP50
PP52",,,2021-06-01
waybill_materiales_peligrosos_88,M0089,PROYECTILES con carga explosiva (Producto o material explosivo),1.1 F,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_89,M0090,PROYECTILES con carga explosiva (Producto o material explosivo),1.1D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_90,M0091,PROYECTILES con carga explosiva (Producto o material explosivo),1.2D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_91,M0092,"MUNICIONES ILUMINANTES con o sin carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2G,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_92,M0093,CARGAS EXPLOSIVAS DE SEPARACIÓN (Producto o material explosivo),1.4S,,,,0,E0,"P134
LP102",,,,2021-06-01
waybill_materiales_peligrosos_93,M0094,REMACHES EXPLOSIVOS,1.4S,,,,0,E0,"P134
LP102",,,,2021-06-01
waybill_materiales_peligrosos_94,M0095,COHETES con carga explosiva (Producto o material explosivo),1.1 F,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_95,M0096,COHETES con carga explosiva (Producto o material explosivo),1.1E,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_96,M0097,COHETES con carga explosiva (Producto o material explosivo),1.2E,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_97,M0098,COHETES con cabeza inerte (Producto o material explosivo),1.3C,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_98,M0099,MOTORES DE COHETE (Producto o material explosivo),1.3C,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_99,M0100,"MUESTRAS DE EXPLOSIVOS, excepto los explosivos iniciadores (Producto o material explosivo)",,,,"16
274",,E0,P101,,,,2021-06-01
waybill_materiales_peligrosos_100,M0101,ARTIFICIOS MANUALES DE PIROTECNIA PARA SEÑALES (Producto o material explosivo),1.4G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_101,M0102,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS (Producto o material explosivo)",1.1G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_102,M0103,"PETARDOS DE SEÑALES PARA FERROCARRILES, EXPLOSIVOS (Producto o material explosivo)",1.4S,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_103,M0104,SEÑALES DE SOCORRO para barcos (Producto o material explosivo),1.1G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_104,M0105,SEÑALES DE SOCORRO para barcos (Producto o material explosivo),1.3G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_105,M0106,SEÑALES FUMÍGENAS (Producto o material explosivo),1.1G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_106,M0107,SEÑALES FUMÍGENAS (Producto o material explosivo),1.4G,,,,0,E0,P135,,,,2021-06-01
waybill_materiales_peligrosos_107,M0108,CARGAS EXPLOSIVAS PARA SONDEOS (Producto o material explosivo),1.2 F,,,,0,E0,"P134
LP102",,,,2021-06-01
waybill_materiales_peligrosos_108,M0109,TETRANITROANILINA (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_109,M0110,TRINITROFENILMETILNITRAMI NA (TETRILO) (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_110,M0111,"TRINITROTOLUENO (TNT) seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (b)
P112 (c)",PP46,,,2021-06-01
waybill_materiales_peligrosos_111,M0112,TRAZADORES PARA MUNICIONES (Producto o material explosivo),1.3G,,,,0,E0,P133,PP69,,,2021-06-01
waybill_materiales_peligrosos_112,M0113,TRINITROANISOL (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_113,M0114,"TRINITROBENCENO seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_114,M0115,"ÁCIDO TRINITROBENZOICO seco o humedecido con menos del 30 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_115,M0116,TRINITRO-m-CRESOL (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",PP26,,,2021-06-01
waybill_materiales_peligrosos_116,M0117,TRINITRONAFTALENO (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_117,M0118,TRINITROFENETOL (Producto o material explosivo),1.1D,,,,0,E0,"P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_118,M0119,"TRINITRORRESORCINOL (TRINITRORRESORCINA; ÁCIDO ESTÍFNICO) seco o humedecido con menos del 20 %, en masa, de agua o de una mezcla de alcohol y agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",PP26,,,2021-06-01
waybill_materiales_peligrosos_119,M0120,"NITRATO DE UREA seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)",1.1D,,,,0,E0,"P112 (a)
P112 (b)
P112 (c)",,,,2021-06-01
waybill_materiales_peligrosos_120,M0121,"CABEZAS DE COMBATE PARA TORPEDOS, con carga explosiva (Producto o material explosivo)",1.1D,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_121,M0122,NITRATO AMÓNICO,1.1D,,,370,0,E0,"P112 (b)
P112 (c)
IBC100","PP47

B2, B3,
B17",,,2021-06-01
waybill_materiales_peligrosos_122,M0123,"AZIDA DE BARIO seca o humedecida con menos del 50 %, en masa, de agua (Producto o material explosivo)",1.1A,6.1,,,0,E0,"P110 (a)
P110 (b)",PP42,,,2021-06-01
waybill_materiales_peligrosos_123,M0124,MULTIPLICADORES CON DETONADOR (Producto o material explosivo),1.1B,,,,0,E0,P133,PP69,,,2021-06-01
waybill_materiales_peligrosos_124,M0125,"CICLOTETRAMETILEN- TETRANITRAMINA (OCTÓGENO; HMX) HUMEDECIDA con un mínimo del 15 %, en masa, de agua (Producto o material explosivo)",1.1D,,,266,0,E0,P112 (a),PP45,,,2021-06-01
waybill_materiales_peligrosos_125,M0126,"DINITRO-o-CRESOLATO SÓDICO seco o humedecido con menos del 15 %, en masa, de agua (Producto o material explosivo)",1.3C,,,,0,E0,"P114 (a)
P114 (b)",PP26,,,2021-06-01
waybill_materiales_peligrosos_126,M0127,"PICRAMATO SÓDICO seco o humedecido con menos del 20 %, en masa, de agua (Producto o material explosivo)",1.3C,,,,0,E0,"P114 (a)
P114 (b)",PP26,,,2021-06-01
waybill_materiales_peligrosos_127,M0128,"PICRAMATO DE CIRCONIO seco
ohumedecido con menos del 20 %,
en masa, de agua (Producto o material explosivo)",1.3C,,,,0,E0,"P114 (a)
P114 (b)",PP26,,,2021-06-01
waybill_materiales_peligrosos_128,M0129,CARGAS MOLDEADAS LINEALES FLEXIBLES (Producto o material explosivo),1.4D,,,,0,E0,P138,,,,2021-06-01
waybill_materiales_peligrosos_129,M0130,COHETES LANZACABOS (Producto o material explosivo),1.2G,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_130,M0131,COHETES LANZACABOS (Producto o material explosivo),1.3G,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_131,M0132,"EXPLOSIVOS PARA VOLADURAS, TIPO E (Producto o material explosivo)",1.1D,,,,0,E0,"P116
IBC100","PP61
PP62

B10",,,2021-06-01
waybill_materiales_peligrosos_132,M0133,CARGAS PROPULSORAS DE ARTILLERÍA (Producto o material explosivo),1.3C,,,,0,E0,"P130
LP101",,,,2021-06-01
waybill_materiales_peligrosos_133,M0134,"MUNICIONES INCENDIARIAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2H,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_134,M0135,"MUNICIONES INCENDIARIAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3H,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_135,M0136,"MUNICIONES FUMÍGENAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2H,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_136,M0137,"MUNICIONES FUMÍGENAS DE FÓSFORO BLANCO, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3H,,,,0,E0,"P130
LP101","PP67
L1",,,2021-06-01
waybill_materiales_peligrosos_137,M0138,"MUNICIONES
INCENDIARIAScon líquido o gel, con carga dispersora, carga expulsora
o carga propulsora (Producto o material explosivo)",1.3J,,,,0,E0,P101,,,,2021-06-01
waybill_materiales_peligrosos_138,M0139,"DISPOSITIVOS ACTIVADOS POR EL AGUA, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.2L,,,274,0,E0,P144,PP77,,,2021-06-01
waybill_materiales_peligrosos_139,M0140,"DISPOSITIVOS ACTIVADOS POR EL AGUA, con carga dispersora, carga expulsora o carga propulsora (Producto o material explosivo)",1.3L,,,274,0,E0,P144,PP77,,,2021-06-01
